id_kegiatan,nama_kegiatan,kode_kegiatan,satuan_hasil,angka_kredit,pelaksanaan,parent_id,id_subunsur
66,"Memperoleh gelar kesarjanaan lainnya yang tidak sesuai bidang spesialisasinya dan/atau lebih dari satu kali pada jenjang pendidikan yang sama, pada program",NULL,NULL,NULL,NULL,NULL,14
67,Doktor (S-3),50,Ijazah,15,Semua Jenjang,66,14
68,Magister (S-2),51,Ijazah,10,Semua Jenjang,66,14
69,Sarjana (S-1),52,Ijazah,5,Semua Jenjang,66,14
70,"Memperoleh penghargaan Satya Lencana Karya Satya, lamanya:",NULL,NULL,NULL,NULL,NULL,15
71,30 (tiga puluh) tahun,53,Piagam,3,Semua Jenjang,66,15
72,20 (tiga puluh) tahun,54,Piagam,2,Semua Jenjang,66,15
73,10 (tiga puluh) tahun,55,Piagam,1,Semua Jenjang,66,15
74,Memperoleh penghargaan lainnya dari pemerintah,56,Piagam,1,Semua Jenjang,NULL,15
75,Memperoleh gelar kehormatan akademis,57,Gelar,10,Semua Jenjang,NULL,15
